Time[s]	Pressure[mbar]	Position_smooth_splines [deg]	Velocity[deg\s]	Aceleration[deg\s2]	Position_original [deg]
0.00545	-0.08660477	0.00027228301	0.10115869	19.242874	0.001194
0.0055	0.07328123	0.00027736501	0.10212115	19.255382	0.001194
0.00555	-0.01998577	0.00028249514	0.10308423	19.267889	0.001194
0.0056	-0.09992877	0.00028767344	0.10404794	19.280396	0.001194
0.00565	-0.13989977	0.00029289994	0.10501227	19.292903	0.001194
0.0057	-0.04663277	0.00029817468	0.10597723	19.305411	0.001194
0.00575	-0.12657577	0.00030349768	0.10694281	19.317918	0.001194
0.0058	-0.05995677	0.00030886897	0.10790902	19.330425	0.001194
0.00585	-0.12657577	0.00031428859	0.10887586	19.342932	0.001194
0.0059	-0.01998577	0.00031975656	0.10984332	19.35544	0.002388
0.00595	0.05995723	0.00032527293	0.1108114	19.367947	0.002388
0.006	-0.00666176999999999	0.00033083772	0.11178011	19.380454	0.002388
0.00605	-0.01998577	0.00033645095	0.11274945	19.392961	0.002388
0.0061	-0.07328077	0.00034211267	0.11371941	19.405469	0.002388
0.00615	0.00666223000000001	0.0003478229	0.11468999	19.417976	0.002388
0.0062	-0.00666176999999999	0.00035358168	0.1156612	19.430483	0.002388
0.00625	-0.00666176999999999	0.00035938903	0.11663304	19.442991	0.002388
0.0063	-0.11325177	0.00036524499	0.1176055	19.455498	0.002388
0.00635	-0.07328077	0.00037114959	0.11857859	19.468005	0.002388
0.0064	0.01998523	0.00037710286	0.1195523	19.480512	0.002388
0.00645	-0.01998577	0.00038310483	0.12052664	19.49302	0.002388
0.0065	-0.01998577	0.00038915554	0.12150161	19.505527	0.002388
0.00655	-0.01998577	0.00039525501	0.12247719	19.518034	0.002388
0.0066	0.01998523	0.00040140327	0.12345341	19.530541	0.002388
0.00665	-0.00666176999999999	0.00040760036	0.12443025	19.543049	0.002388
0.0067	-0.03330977	0.0004138463	0.12540771	19.555556	0.002388
0.00675	-0.07328077	0.00042014114	0.1263858	19.568063	0.002388
0.0068	-0.01998577	0.00042648489	0.12736452	19.58057	0.002388
0.00685	0.00666223000000001	0.0004328776	0.12834386	19.593078	0.002388
0.0069	-0.00666176999999999	0.00043931929	0.12932383	19.605585	0.002388
0.00695	-0.12657577	0.00044580999	0.13030442	19.618092	0.002388
0.007	-0.07328077	0.00045234974	0.13128564	19.6306	0.002388
0.00705	0.07328123	0.00045893857	0.13226748	19.643107	0.002388
0.0071	-0.00666176999999999	0.0004655765	0.13324995	19.655614	0.002388
0.00715	-0.00666176999999999	0.00047226357	0.13423304	19.668121	0.002388
0.0072	-0.08660477	0.00047899982	0.13521676	19.680629	0.003582
0.00725	0.03330923	0.00048578526	0.1362011	19.693136	0.003582
0.0073	0.05995723	0.00049261994	0.13718607	19.705643	0.003582
0.00735	0.00666223000000001	0.00049950388	0.13817167	19.71815	0.003582
0.0074	-0.11325177	0.00050643711	0.13915789	19.730658	0.003582
0.00745	-0.00666176999999999	0.00051341968	0.14014473	19.743165	0.003582
0.0075	0.07328123	0.0005204516	0.1411322	19.755672	0.003582
0.00755	0.00666223000000001	0.00052753291	0.1421203	19.768179	0.003582
0.0076	-0.01998577	0.00053466364	0.14310902	19.780687	0.003582
0.00765	-0.01998577	0.00054184382	0.14409837	19.793194	0.003582
0.0077	0.09992823	0.00054907349	0.14508834	19.805701	0.003582
0.00775	0.03330923	0.00055635267	0.14607894	19.818208	0.003582
0.0078	-0.01998577	0.00056368139	0.14707016	19.830716	0.003582
0.00785	-0.05995677	0.00057105969	0.14806201	19.843223	0.003582
0.0079	0.00666223000000001	0.0005784876	0.14905449	19.85573	0.003582
