#############################################################
#                                                           #
#    #    ##   #  #   #                           #         #
#   # #  #  #  #  #  # #                          #         #
#  ##### #  #  #  # #####  ##  ###  #  #  ## ###  ###       #
#  #   # #  #  #  # #   # #  # #  # #  # #   #  # #  #      #
#  #   # #  #  #  # #   # #  # #  # #  #   # #  # #  #      #
#  #   #  ## #  ##  #   #  ### ###   ### ##  ###  #  #      #
#                            # #             #              #
#                          ##  #             #              #
#                                                           #
#############################################################
-0.5 -0.21378329888002767, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 -0.2093111629250281, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 -0.20483902697002854, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 -0.20036689101502897, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 -0.1958947550600294, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 -0.19142261910502983, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 -0.18695048315003027, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 -0.1824783471950307, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 -0.17800621124003113, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 -0.17353407528503156, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 -0.169061939330032, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 -0.16458980337503243, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 -0.16011766742003286, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 -0.1556455314650333, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 -0.15117339551003373, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 -0.14670125955503416, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 -0.1422291236000346, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 -0.13775698764503502, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 -0.13328485169003546, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 -0.1288127157350359, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 -0.1243405797800363, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 -0.11986844382503672, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 -0.11539630787003714, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 -0.11092417191503756, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 -0.10645203596003798, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 -0.1019799000050384, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 -0.09750776405003882, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 -0.09303562809503924, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 -0.08856349214003965, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 -0.08409135618504007, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 -0.07961922023004049, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 -0.07514708427504091, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 -0.07067494832004133, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 -0.06620281236504175, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 -0.061730676410042165, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 -0.057258540455042584, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 -0.052786404500043, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 -0.04831426854504342, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 -0.04384213259004384, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 -0.03936999663504426, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
