#############################################################
#                                                           #
#    #    ##   #  #   #                           #         #
#   # #  #  #  #  #  # #                          #         #
#  ##### #  #  #  # #####  ##  ###  #  #  ## ###  ###       #
#  #   # #  #  #  # #   # #  # #  # #  # #   #  # #  #      #
#  #   # #  #  #  # #   # #  # #  # #  #   # #  # #  #      #
#  #   #  ## #  ##  #   #  ### ###   ### ##  ###  #  #      #
#                            # #             #              #
#                          ##  #             #              #
#                                                           #
#############################################################
-0.479 -0.006, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.00001, 0.0, 499995.0000499996, 0.0, 4.00004e-06, 1
-0.479 -0.004, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.00001, 0.0, 499995.0000499996, 0.0, 4.00004e-06, 1
-0.479 -0.002, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.00001, 0.0, 499995.0000499996, 0.0, 4.00004e-06, 1
-0.479 0.0, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.00001, 0.0, 499995.0000499996, 0.0, 4.00004e-06, 1
-0.479 0.002, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.00001, 0.0, 499995.0000499996, 0.0, 4.00004e-06, 1
-0.479 0.004, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.00001, 0.0, 499995.0000499996, 0.0, 4.00004e-06, 1
-0.479 0.006, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.00001, 0.0, 499995.0000499996, 0.0, 4.00004e-06, 1
-0.479 0.008, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.00001, 0.0, 499995.0000499996, 0.0, 4.00004e-06, 1
-0.477 -0.008, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.00001, 0.0, 499995.0000499996, 0.0, 4.00004e-06, 1
-0.477 -0.006, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.00001, 0.0, 499995.0000499996, 0.0, 4.00004e-06, 1
-0.477 -0.004, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.00001, 0.0, 499995.0000499996, 0.0, 4.00004e-06, 1
-0.477 -0.002, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.00001, 0.0, 499995.0000499996, 0.0, 4.00004e-06, 1
-0.477 0.0, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.00001, 0.0, 499995.0000499996, 0.0, 4.00004e-06, 1
-0.477 0.002, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.00001, 0.0, 499995.0000499996, 0.0, 4.00004e-06, 1
